race_slug,year,round,race_name,session_stage,predicted_winner,actual_winner,correct,actual_position_of_predicted,win_probability,timestamp
belgium,2025,13,Belgian Grand Prix,qualifying,NOR,PIA,False,2.0,0.114,2026-02-26T18:30:36.669485
azerbaijan,2025,17,Azerbaijan Grand Prix,qualifying,VER,VER,True,1.0,0.228,2026-02-27T23:39:29.038516
monaco,2025,8,Monaco Grand Prix,qualifying,NOR,NOR,True,1.0,0.138,2026-02-28T01:55:42.887369
abu_dhabi,2025,24,Abu Dhabi Grand Prix,qualifying,VER,VER,True,1.0,0.18,2026-02-26T18:30:36.669485
australia,2026,1,Australian Grand Prix,qualifying,RUS,RUS,True,1.0,0.266,2026-03-09T18:31:34.935037
china,2026,2,Chinese Grand Prix,qualifying,ANT,ANT,True,1.0,0.263,2026-03-16T23:34:01.348978
japan,2026,3,Japanese Grand Prix,qualifying,ANT,ANT,True,1.0,0.184,2026-03-30T10:15:26.001797
saudi_arabia,2026,5,Saudi Arabia Grand Prix,qualifying,RUS,?,False,,0.204,2026-04-20T10:38:45.878839
